"ARL5A","ASCL3","DDIT3","DDOST","GUCY2C","LRRC8E","THAP5","THSD1P1","UBE2C"
-1.2031,-0.196,0.1159,-0.5563,-0.2017,1.0724,-0.7904,-0.4723,1.0523
0.4801,-0.205,-0.4978,0.0081,-0.0046,-1.048,0.2449,2.4039,-0.2882
-0.812,0.0507,0.1073,-0.0267,-0.1981,-0.4447,-0.3501,0.0624,0.4065
-0.2098,-0.2813,-0.671,-1.0797,-0.1911,-0.6634,-0.4106,0.5369,-0.7983
0.855,-0.1963,-0.3349,0.3348,-0.2035,-0.7442,-0.7417,-0.0257,-0.5532
0.3451,-0.1775,0.2439,-0.7192,-0.0667,-0.5454,-0.4539,0.1637,-0.8504
0.5654,-0.2813,0.0779,-0.4758,-0.1572,0.7224,-0.5817,-0.5272,0.4119
1.4995,-0.2095,-0.2827,-0.7175,-0.1929,-1.1452,0.0153,0.1559,-0.9851
0.8899,0.3328,-0.6493,-0.6214,-0.1896,0.1009,-0.1191,0.1841,-0.9309
-0.1658,-0.2813,-0.2491,1.5013,-0.2009,0.7598,2.296,-1.834,2.3049
-0.9618,-0.2008,-0.5692,1.4528,-0.2006,-0.2039,0.0265,-0.0647,1.2124
0.3723,-0.1052,1.3778,0.2847,-0.2025,-0.4603,-1.2108,0.0245,-0.2187
-0.6447,-0.1228,-0.3826,1.0592,-0.1994,-0.2009,-0.4146,-1.0784,-0.603
-0.8564,-0.082,-0.4771,0.0121,-0.2018,-0.1057,-0.4701,-0.6573,0.1924
-1.6981,-0.109,2.6746,-0.3186,-0.1902,-0.0954,-1.7021,0.4752,1.2378
-1.5935,1.2926,0.9404,0.0365,0.1251,0.2869,-1.9499,-0.63,0.2924
0.5607,-0.2813,-0.5453,-0.7367,-0.1735,-1.3105,0.168,0.6044,-0.397
-0.6118,9.2265,-0.3036,-1.622,-0.2018,0.307,-1.2557,-0.1569,0.4188
-0.5207,-0.1777,-0.3299,-1.0689,-0.1985,-0.3656,-0.8884,-0.222,-0.4946
-0.1007,0.0166,-0.3914,-1.0893,-0.2013,-0.2291,-0.0258,0.0191,-0.3096
-0.2277,0.7416,-0.228,0.456,-0.1991,-0.5753,0.0904,0.0117,-0.6579
0.6633,-0.2813,0.1663,-1.901,-0.1142,1.3058,1.4985,-0.2228,-0.8063
-0.6165,-0.2813,-0.1849,-1.2291,-0.1868,2.5188,-0.5674,-0.5738,1.8401
-0.3338,-0.1895,-0.672,-1.578,-0.1524,0.8004,-0.4898,0.8041,-0.5306
-0.6126,0.0109,-0.7016,0.5138,-0.1983,0.2228,-0.5566,-0.3812,-0.5909
-1.1076,-0.2813,-0.584,0.58,1.4018,-0.1353,0.2026,2.2007,2.0556
-1.738,0.0683,-0.4633,0.2549,-0.1994,0.8915,-1.0386,-0.3823,-0.2625
-0.7918,0.0218,0.2755,-0.4197,-0.012,0.3733,0.261,-0.1281,0.0279
-1.0529,8.5886,0.2508,0.0709,-0.1933,1.7645,-0.1856,-0.8263,-0.1681
-0.9288,-0.1757,-0.5316,-0.207,-0.1967,-0.6954,-0.7883,0.3444,-0.5257
-0.3958,-0.0468,-0.0199,-0.4345,-0.1923,-0.8018,-0.2891,0.0056,-1.0163
-0.2122,-0.2813,-0.4473,-1.2632,-0.1978,-1.2043,0.4948,0.6138,-0.9524
-0.653,-0.1954,1.6748,-0.5642,-0.1822,-0.1974,-0.744,0.2139,0.2608
-0.8273,-0.0649,-0.5234,0.2456,-0.2025,-0.2554,-0.4353,-0.9679,-0.1418
0.1675,0.1763,-0.2912,0.2971,-0.2029,-0.321,-0.861,0.4876,0.3382
0.9599,-0.2813,-0.4809,-1.1154,-0.1974,-0.9069,0.7823,0.1791,-0.8378
0.2705,-0.2813,-0.0727,-0.2841,-0.0334,0.5595,-0.6926,-0.8529,-0.6117
-0.442,-0.2813,-0.4667,0.9934,-0.1882,0.889,-1.11,-0.2378,0.7865
-0.0616,-0.2813,0.6115,-0.4393,-0.2012,0.0262,-0.6563,0.3548,0.1577
1.0137,-0.0836,-0.6146,-0.6976,-0.1728,-0.9683,0.8858,1.1626,0.3092
