"C19orf71","C9orf72","DKK1","ELFN2","ERRFI1","GSN","IGF2BP3","IL31RA","MATN2","NCAPH","PRMT3","RAB11B","SOCS2","TMEM204","TMEM64","ZCCHC3"
-0.3438,-0.4033,-0.6635,-0.3484,-0.374,-0.4916,0.7764,0.6067,-0.2423,0.012,1.0735,-1.3314,0.0124,0.8713,1.4371,0.1004
-0.668,0.6329,1.7011,0.1345,0.7148,0.0069,0.9031,2.2411,1.784,-0.1338,-0.1957,-0.6087,-0.1705,-0.9368,0.9887,-0.387
-1.1033,-0.3109,0.8695,0.5721,-0.9465,-0.3214,-0.8073,0.6125,-0.3389,-0.1928,0.1629,-0.9127,1.2909,-0.6255,-0.1419,0.3454
-1.0142,0.6392,-0.2569,-0.3548,-0.4277,-0.5459,-0.3467,-0.1714,0.6067,-0.3569,-0.1318,-1.6469,0.5357,-0.8189,0.6237,0.0714
-0.8375,0.476,-0.1034,0.5271,0.3181,-0.7777,-0.2808,0.0723,-0.5338,0.528,0.4644,-1.3286,0.0178,-0.9197,1.7195,0.058
0.9826,-0.9037,-0.6019,-0.2918,1.1105,-0.6893,3.5767,0.2984,-1.537,0.6538,2.09,-0.4907,-0.9708,-0.5691,0.3269,-0.3813
-0.5409,0.188,0.3324,-0.1868,0.4354,-0.4756,0.2565,0.2799,0.0677,-0.7895,0.5177,-1.308,-0.2046,-0.0802,0.1918,-0.5482
-0.4415,0.534,-0.125,-0.6797,0.4444,-0.7579,-0.9144,-0.3548,2.6217,0.098,0.2,-0.675,1.8005,-0.8756,0.5717,-0.2604
-0.3486,1.6296,-0.7233,-0.5545,0.3863,-0.2482,-0.9014,-0.452,-0.0862,-0.6951,-0.1712,-0.8246,1.5587,0.3317,2.8493,1.2773
-0.431,0.2453,-0.2735,0.0774,-0.2975,0.3795,0.6348,0.0723,-0.1195,-0.032,-0.3704,-1.2549,-0.6859,0.1631,0.7521,-0.6249
-0.6067,1.1814,-0.6616,0.0269,-0.9621,-0.6926,0.1079,-0.1637,-0.1722,1.923,1.379,-1.3131,0.487,-0.7168,0.868,0.3256
-0.336,1.1063,-0.3182,-0.6904,-0.7662,-0.8005,-0.8664,-0.0424,2.9689,0.8774,0.3949,-0.7757,-0.2387,-1.2273,0.7427,-0.202
0.104,0.7427,-0.6068,-0.3777,0.0032,-0.1124,-0.8543,-0.0301,0.7973,-0.606,-0.1119,-0.1678,-0.102,0.5505,-0.2535,-0.7813
-0.0556,1.2161,-0.6036,-0.6925,0.0672,0.2963,-0.9051,-0.3779,0.5176,-0.7691,0.2235,-0.3875,2.9732,0.9411,1.1562,0.4365
-0.2411,0.2385,-0.6318,-0.2079,-0.2563,3.4088,-0.965,-0.5117,0.7183,-1.005,-0.3066,0.381,-0.6766,0.0129,-0.8997,-0.7506
-0.1452,-0.0282,-0.5819,0.645,-0.5719,0.1196,1.3532,-0.2153,-0.2107,0.8849,1.6151,-0.8482,0.2159,0.5704,-0.9223,-0.2837
0.5562,-0.7876,1.1038,0.201,-0.0318,-0.1378,0.5195,-0.2522,-0.4403,0.0406,-0.8571,0.3935,-0.4606,0.5495,-0.3306,-0.8658
-0.4121,-1.1455,-0.2506,-0.7469,-0.5884,-0.6959,0.9534,0.7306,0.0965,2.2279,1.1553,1.655,-0.6479,-0.5945,-0.766,0.0986
0.1453,-0.2223,-0.6526,-0.4745,-0.8118,2.5624,-0.5693,0.4753,1.7835,-0.163,-0.0271,0.3374,1.5671,0.3125,0.2351,-0.2645
-0.6404,-0.4737,-0.24,-0.5948,-0.2398,0.2701,-0.3391,-0.3174,0.0122,-0.5811,-0.3269,0.1677,0.1069,0.4834,0.0503,-0.4729
0.6731,-1.3596,0.1031,-5e-04,-0.842,-0.4049,-0.9595,-0.3868,1.1479,-0.4828,-0.3576,0.0296,-0.2557,0.6388,-0.3904,-0.6002
0.1888,-0.7275,-0.6929,-0.715,-1.0038,-0.707,-0.0723,-0.5998,0.1394,0.3837,2.2577,-0.4637,0.1783,-0.6391,-0.0857,-0.0531
-0.8867,-0.5624,-0.0623,-0.6696,-0.6083,-0.5609,2.2131,-0.3245,0.6211,-0.7892,0.0108,0.135,-0.6689,-0.197,-1.5006,-0.8463
-0.7342,-0.4627,-0.5968,-0.6855,-0.5701,-0.3811,0.3907,-0.5507,0.0114,0.1748,1.7304,-0.3702,-0.5824,-0.0752,0.1006,-0.5076
-0.7999,0.606,-0.4735,-0.6425,-0.3023,-0.0773,0.6868,-0.2667,0.3744,-0.56,0.4253,-1.5713,0.6006,-0.5908,0.7631,-0.3782
-1.2594,1.6408,1.4639,-0.2946,1.4593,-0.8604,1.9359,-0.3558,-0.3704,0.6528,0.362,-1.7352,-0.5978,-1.074,0.5106,0.2255
-1.1953,-0.1492,-0.201,0.3227,-0.1996,-0.5817,1.3189,-0.4323,0.2662,1.4911,1.6463,-1.9949,-0.1613,-0.7295,0.4403,-0.2033
-1.1363,0.1763,-0.3095,-0.6254,0.065,-0.2187,-0.6114,-0.1636,1.2191,-0.7189,0.0123,-1.1667,0.1006,-0.1445,0.8282,-0.3665
-0.493,0.1576,1.1129,-0.0746,-0.5287,-0.9509,0.1989,1.2491,-0.5007,0.0219,2.4185,-0.959,-0.5213,0.9837,-0.088,-0.6223
-0.5986,-0.0027,-0.5679,0.5367,-0.3208,1.3573,-0.9639,-0.43,0.1134,-0.7162,-0.4655,-0.155,-0.4332,0.1737,0.1982,-0.918
-0.3309,-0.3605,-0.6082,-0.5264,-0.0414,1.7684,0.7058,-0.1696,-0.5759,0.3043,-1.1864,-0.5906,-0.3338,-0.1093,-0.354,-0.9819
-1.0282,0.7146,1.8513,-0.2847,0.0546,-0.9594,1.2571,-0.117,-0.9565,0.0331,0.6924,-1.3707,-0.6617,-1.0571,-0.1729,-0.551
-0.71,-0.7216,-0.5557,-0.1549,-0.4608,-0.5,-0.4401,0.4948,0.2559,-0.6434,1.7521,-0.0348,-0.9537,0.1886,-0.1748,-0.9371
-1.0353,-0.1177,-0.444,-0.5775,-0.8199,0.48,0.06,-0.5998,1.4542,-0.3279,0.5327,-1.4834,1.0012,0.0521,0.9767,-0.1279
-1.1679,-0.4938,-0.5933,0.7162,-0.7166,1.0003,-0.4431,-0.4018,-0.1696,-0.4465,-0.4756,-1.0001,-0.0163,-0.6212,-0.52,-0.086
-0.3548,-0.011,0.5574,-0.4191,-0.452,0.7872,-0.7793,0.3033,-0.7235,-0.1966,0.7874,-0.639,-0.6171,-0.2333,1.4113,-0.778
-1.0249,-0.1938,0.2729,-0.4866,-0.5163,-0.7032,-0.4433,-0.3937,0.1135,-0.2901,-0.2087,-1.277,-0.0127,-0.3459,1.1696,-0.0922
-1.1498,-0.2493,0.1337,-0.6388,0.0216,-0.5819,1.9224,1.412,-0.4898,2.0338,2.8774,-1.7109,-0.5151,-0.7413,3.1238,-1.1944
-0.9523,1.3881,-0.6799,1.1031,-0.2222,0.1601,-0.8734,-0.1945,1.0894,-0.0694,0.0524,-1.766,2.3163,-0.7065,1.6717,0.2653
0.0207,1.4262,-0.6546,-0.5233,-0.6075,-0.5065,-0.7886,-0.325,0.6672,-1.112,0.2516,-0.9273,1.1924,-0.4816,1.8463,0.1182
-0.4483,0.5162,0.8963,-0.1278,0.2627,-0.4264,1.2668,-0.3716,-0.5011,-0.279,0.5686,-1.0831,-0.3382,0.4006,0.3989,0.2921
-0.2435,-0.1812,-0.4277,-0.4876,0.0772,1.1327,-0.8568,-0.4757,-0.114,-0.1752,-1.0322,0.2208,0.3842,2.3143,-0.6092,-0.3124
-0.2415,-0.5353,-0.6424,-0.3088,-1.0522,1.2505,1.399,-0.5592,-0.037,-0.1263,0.1526,0.4478,-0.8539,-0.8897,-0.2855,-0.2713
-0.4745,-0.4915,0.124,2.046,-0.283,0.0657,-0.4753,1.7562,-0.7381,0.2947,-0.4679,0.1718,0.6951,1.7902,1.5926,0.3113
-1.1174,-0.7158,2.8695,4.7671,-0.0546,0.5582,-0.9704,3.0489,-0.7854,0.7464,-0.6387,4.2572,-0.7749,0.8747,0.5266,-0.9733
0.1015,-0.906,-0.6445,-0.6081,-0.92,0.0037,-0.6128,-0.5648,0.6069,-0.2056,-0.5897,-0.4081,-0.0557,1.052,0.5281,0.7623
-0.4885,0.0598,2.1647,0.4567,2.2406,-0.6465,-0.3332,3.1059,-1.1016,-0.6954,-0.7841,-0.4258,-0.7275,-0.6931,-1.175,-0.9704
0.5082,-0.4299,-0.4351,0.7759,0.4625,-1.1643,-0.7262,-0.2988,-0.3432,-0.3407,1.0395,0.8595,-0.33,-0.6935,0.4009,-0.57
0.2468,-0.5304,-0.5711,0.4051,0.7799,-0.3973,1.5496,1.3867,-1.163,1.1464,1.2996,1.0119,-0.7575,-0.8043,-1.1808,-0.3073
-0.0796,-0.1899,5.2814,-0.6021,-0.4502,-0.6273,1.7714,-0.3967,-0.79,0.9607,2.7874,0.7306,-0.834,-0.855,-0.1017,-1.5036
1.8622,0.1542,-0.7051,-0.0226,0.503,-0.4623,-0.9494,0.2616,0.1854,-1.2121,0.2185,0.0204,-0.1833,0.1725,0.5315,0.0542
-0.7591,0.5187,0.6549,1.6913,0.959,-0.0447,0.1628,1.6518,-0.731,0.6183,0.369,1.0084,-0.5738,0.4731,-0.1967,-0.8516
1.856,-0.5028,0.2346,-0.0031,-0.7254,0.8819,0.2105,-0.324,-0.5417,0.7464,0.0754,0.9582,-0.9014,-0.9143,-1.4465,0.4136
1.2408,-0.0954,-0.4571,-0.7085,-0.8947,-0.2492,0.2011,-0.3531,0.4293,0.697,-0.1668,-0.5853,-0.108,0.347,0.1754,0.5892
-0.7886,-0.0166,1.7453,1.2624,0.8383,-0.2253,0.8467,-0.0889,-0.7165,0.0179,-0.414,-0.7074,-0.2372,1.0544,-0.8285,-0.5916
1.0558,0.5706,-0.4485,-0.4259,-0.427,-0.0931,-0.9217,-0.3831,0.2099,-0.539,-0.6293,0.1981,2.2725,0.7033,-0.0755,1.5844
0.1146,3.4383,-0.3694,-0.4246,-0.1987,-0.4129,-0.7906,-0.4821,-0.9045,-0.4114,-0.4311,0.4097,0.7885,1.4639,0.1028,-0.1934
-0.2448,0.9967,-0.7264,-0.5664,-0.2792,-0.2732,-0.8444,-0.3124,0.3102,-0.9985,-0.6354,0.703,0.3082,0.7149,-0.245,0.0426
-0.0698,0.6467,-0.1336,0.5196,0.6391,-0.2104,2.3709,-0.2585,-0.5052,0.2791,0.1777,0.5443,-0.711,-0.5283,-1.0538,-0.8533
-0.038,0.6491,-0.6713,-0.6561,-0.4799,-0.3055,-0.8993,-0.2349,-0.5727,-1.0414,0.447,-0.0184,0.9225,2.3063,3.0859,0.4644
0.6554,0.5752,-0.395,-0.091,-0.2939,0.956,-0.9456,-0.4108,1.4399,-0.9281,-0.2516,-0.2578,0.5695,-0.1562,0.0323,-0.1148
0.3104,-1.0831,-0.0324,-0.1274,5.2271,0.8501,2.9699,-0.1207,-0.5228,1.8559,1.0527,-0.724,-0.5381,-1.0787,2.5039,-0.5524
-0.8908,-0.6297,1.0534,-0.6918,-1.0271,-1.339,-0.9355,-0.5255,-0.291,0.6069,-0.9098,-0.5876,-0.9,-1.0195,0.8392,-1.3654
-1.0151,-0.6791,-0.655,-0.7121,-0.5557,-0.4749,-0.5,-0.1525,-1.1775,-0.7361,-1.3869,1.5942,-0.673,-0.2048,-1.3618,1.956
0.0187,-0.5295,0.2474,0.0566,-0.109,-0.3379,-0.0353,0.0588,-0.5161,-0.8534,-0.5938,0.4667,-0.4736,-0.2482,0.284,-0.7373
0.773,0.5722,1.2506,-0.4904,0.8449,-0.1927,1.1524,-0.2317,-1.069,-0.4149,-0.365,0.5291,-0.92,-0.468,-0.564,-0.9412
-0.3045,-0.8475,-0.252,-0.5467,-0.0294,0.535,-0.3301,-0.3612,-0.6838,-0.3356,-1.3081,1.9172,-0.6444,1.0711,-1.2571,-0.6892
