"AKR1A1","ALDOB","CA2","CAB39L","CAMK2G","DLGAP5","EPHB6","FAM120A","GABPB1","IFNAR1","IGF2BP3","IL31RA","LRRN3","NCEH1","NGLY1","NSUN3","PLD6","PRLR","RTEL1","TXNDC15","ZBTB7C","ZNF584"
-0.566,-0.2173,-0.5487,1.3581,1.2517,-0.5018,1.9404,0.1451,-0.7042,0.8268,1.0972,0.523,-0.3791,-0.8141,-0.2773,-0.9009,-0.331,-0.2711,0.395,-0.9938,-0.1456,1.4362
1.0404,0.0137,-0.3121,-0.7836,0.3096,-0.0741,-0.4254,0.4637,-0.8083,0.079,0.0349,-0.4707,-0.0929,-0.9954,0.0214,-0.9222,-0.0478,-0.2002,0.1938,-0.3137,0.293,0.1202
1.0738,0.2574,-0.0595,-0.4125,-0.3795,-0.2498,0.5019,0.059,-0.2439,0.1231,-0.4088,-0.3684,-0.1694,0.2004,-0.2176,-0.5148,-0.0152,-0.2209,-0.6082,-0.1953,-0.219,-0.006
-0.1926,-0.1801,-0.6753,-0.1941,-0.3176,-0.0175,-0.1659,-0.5377,0.1053,-0.917,2.9661,-0.557,-0.3756,-0.0361,0.4719,-0.0885,-0.6679,0.1868,1.137,-0.9307,-1.0391,0.761
1.8023,-0.1614,-0.4267,-0.7898,-0.4401,0.2364,-0.129,-0.2966,-0.8432,-0.7438,-0.6699,-0.4024,-0.3342,-0.5838,0.4654,-0.883,-0.5803,-0.2129,-0.0059,-0.8682,0.4769,1.4251
1.3538,-0.2316,-0.7814,-0.6484,-0.8201,-1.0933,-0.586,0.0036,-1.8376,-1.735,-0.8819,-0.5998,-0.3493,-1.1985,-0.2084,-1.1532,1.3079,0.0053,3.147,-1.5584,-0.1626,2.999
0.5477,-0.1238,0.0277,-0.775,-0.3344,-0.7078,-0.064,-0.4509,-0.7664,-0.4277,-0.9678,0.6434,-0.2332,-0.1755,-0.7812,-0.1497,-0.2549,-0.2309,-0.5191,0.4896,-0.0671,0.6436
2.2671,-0.169,2.7023,-0.7664,-0.1555,0.5275,-0.464,1.3775,-0.894,1.0581,1.3888,-0.496,-0.3674,-0.4665,-1.6917,1.4271,-0.1004,-0.2465,-0.6412,-0.337,0.8847,-0.3424
2.9424,0.6708,-0.8348,-0.7356,-0.7533,0.6035,-0.0776,2.6058,-0.4114,-0.0801,2.6989,-0.1392,-0.4142,2.3869,-0.3565,-1.3409,0.1638,-0.0996,0.023,-0.612,3.2637,-0.6314
0.4731,-0.0325,-0.3085,0.1554,-0.7343,-0.215,-0.4218,0.2312,0.3247,2.0461,-0.8902,0.2848,0.0434,1.0518,1.1822,0.7489,0.5137,0.1466,-1.3582,0.2626,-0.8353,-0.8558
-0.4305,-0.1888,-0.0692,-0.097,0.2709,0.8155,0.871,1.2781,0.5086,-0.4559,1.8338,-0.0287,0.0098,0.1592,0.4447,1.6542,-0.5079,-0.2443,-0.6126,-0.4614,0.6875,0.1391
-0.8207,-0.1569,-0.7393,1.9947,-0.3104,-0.9713,-0.4554,-0.3089,0.6233,0.2494,-0.8349,0.2036,0.8483,-0.5717,-1.2523,1.1277,-0.169,0.2412,-1.0879,1.4028,-0.2256,0.9018
-0.1448,-0.2317,-0.5634,-0.3916,-7e-04,0.7385,0.0177,0.0788,2.4564,1.0183,1.2976,0.052,-0.1393,-0.3857,-1.1724,1.3412,-0.535,-0.2261,0.1172,-0.0677,-0.3128,0.8223
-0.277,0.1708,-0.5474,3.064,-0.2087,-0.7428,-0.4432,-0.5684,-0.3257,1.4972,-0.9429,-0.5733,1.0794,-0.5382,0.0279,0.9871,0.0067,-0.1077,-0.6296,0.8012,0.215,-0.1176
0.2399,3.7565,1.8791,0.1791,0.0959,0.7941,-0.5088,1.3343,0.0522,0.298,-0.9629,-0.46,-0.2517,-0.5584,1.8056,1.0671,-0.416,0.1805,-0.89,-0.2183,1.0523,-0.9123
0.3112,-0.2289,-0.7341,-0.9516,0.0184,-0.3926,-0.5204,2.3355,0.0534,2.9273,0.7764,0.6067,-0.3125,0.0353,-1.4247,-0.7184,-0.0826,-0.2463,-0.676,0.3973,-0.19,0.2295
-1.3479,0.0688,1.0099,-0.7591,-0.8448,-0.3399,0.7642,0.4849,0.8933,2.2488,0.9031,2.2411,-0.2559,1.4654,1.9242,0.7642,-0.5345,-0.152,-1.0271,-0.2478,-0.7273,-0.8001
0.9446,-0.2001,-0.7215,0.2435,0.1978,-0.0604,-0.3459,-1.2404,-0.6646,0.4049,-0.8073,0.6125,0.2259,-1.1567,1.226,-0.2506,-0.3653,-0.1836,-0.4732,1.6226,-0.1154,0.989
-0.54,-0.156,0.2408,1.2473,-0.3466,-0.4209,-0.003,-0.3435,0.213,1.2149,-0.3467,-0.1714,0.3954,0.1332,1.4172,1.4219,-0.3257,-0.0079,-1.0374,0.7541,0.0404,-0.6678
-0.3745,-0.2473,-0.3604,0.7749,-0.3181,-0.0169,-0.2104,0.4867,-0.3644,0.7696,-0.2808,0.0723,0.037,0.7714,0.728,0.32,0.178,0.237,-0.6196,0.0547,-0.7462,-0.8725
-1.3452,-0.2716,-0.7189,-1.1632,-0.1697,0.2319,0.1569,-0.2253,-0.8321,-0.8733,3.5767,0.2984,-0.3675,-0.0767,-0.8295,-0.7588,-0.1111,-0.2261,0.392,-0.8618,-1.2045,-1.2485
-0.4856,-0.2067,-0.5272,-0.1223,0.4805,-0.6227,-0.0458,0.5861,0.053,1.8604,0.2565,0.2799,-0.2536,0.1748,0.5965,1.4333,-0.0235,-0.2253,-0.9029,0.124,-0.3455,-0.4255
-0.3004,0.4754,1.1147,1.3713,-0.0924,0.1691,-0.1689,-0.0202,0.0131,0.8898,-0.9144,-0.3548,-0.3007,0.2616,1.0152,-0.4307,-0.2498,0.0382,-0.4733,0.0918,-0.4665,-0.18
-1.3658,-0.2129,-0.754,3.0193,-0.2979,-0.9313,-0.5324,0.0665,0.2766,-0.2691,-0.9014,-0.452,1.4908,0.0442,-0.3313,0.6145,-0.0869,0.2638,-0.3805,0.0117,-0.6104,1.2792
-0.8229,-0.2022,0.4579,-0.6275,-0.0092,0.0397,-0.2089,1.1996,1.0536,0.1948,0.6348,0.0723,-0.0326,0.3202,-0.1096,2.8402,-0.2067,-0.1733,-0.4068,0.0681,0.97,-0.4652
0.814,-0.1269,-0.4362,0.1821,0.346,1.3977,-0.3137,-0.3226,-0.0022,0.6051,0.1079,-0.1637,0.1438,2.184,1.271,1.0591,0.0157,-0.1616,2.2748,-0.3726,-1.0839,-0.75
0.7546,0.8352,4.3827,-0.2232,0.4427,1.4409,-0.4678,0.986,-0.1029,0.1263,-0.8664,-0.0424,-0.3091,-0.135,1.2727,2.1744,-0.1478,-0.0798,-0.6586,-0.1627,1.2116,-0.6703
-0.1445,-0.2115,0.3377,-0.3477,-0.3113,-0.6896,0.376,-0.7332,-0.6542,1.0839,-0.8543,-0.0301,0.1484,-0.0459,-0.0754,-0.9483,0.2106,-0.1335,-0.3208,-0.3022,-0.0613,0.5435
0.8536,-0.1453,0.7048,2.2485,-0.6873,-0.6396,-0.2772,-0.8036,0.5968,0.4663,-0.9051,-0.3779,0.8224,-0.9017,1.2639,-1.2415,-0.2997,-0.0418,-0.4273,0.5372,0.1504,1.1806
0.8789,-0.1746,0.8823,-0.504,-0.4059,-0.968,-0.3041,-0.1373,-1.2203,0.2027,-0.965,-0.5117,-0.1683,-0.1596,0.4065,0.2894,0.4948,-0.2709,-0.343,-0.3149,0.3831,-0.8944
0.5693,-0.2618,-0.5492,0.0386,0.1138,0.8276,-0.3107,0.0123,1.3024,-1.0449,1.3532,-0.2153,-0.1893,1.0635,-1.0348,0.0268,-0.3106,-0.257,0.3264,-0.5525,-0.0898,-1.3912
-0.2868,0.4495,0.0604,-0.7533,-0.2329,-0.1713,0.1579,-0.0969,-0.4737,0.0544,0.5195,-0.2522,-0.2381,-0.4707,-0.9926,0.0273,-0.4195,-0.2399,0.5332,-0.0159,-0.009,-0.0078
-0.5215,-0.0834,0.7545,-0.7225,-0.6506,2.0539,-0.2223,-0.5882,0.1971,0.0184,0.9534,0.7306,-0.374,-0.2757,-0.1891,-0.8699,-0.3619,-0.2232,-0.1991,0.1361,0.0882,0.932
-0.4013,-0.1652,-0.3343,4.3656,3.68,-0.709,-0.4131,-0.1118,-0.5312,0.1624,-0.5693,0.4753,-0.0529,-1.007,-0.6747,-0.7623,-0.2219,-0.2054,-0.4696,0.3667,-0.304,0.3993
-0.5874,-0.1777,-0.5684,0.2848,-0.6931,-0.7028,-0.4364,0.2667,1.1299,0.3047,-0.3391,-0.3174,-0.3476,0.1664,-0.8343,-0.742,-0.6394,-0.257,0.5316,0.7991,-0.4425,0.9542
1.5734,-0.2188,4.9976,-0.7377,-0.6639,-0.2604,-0.3276,0.1912,-0.43,-0.5012,-0.9595,-0.3868,-0.3272,-0.6628,-0.5911,-0.0086,-0.443,-0.249,-0.1416,-0.4758,0.2887,-0.8174
-1.0613,0.4087,1.273,-0.6779,-0.2313,-0.2009,-0.1521,1.0665,-0.3145,-0.9299,-0.0723,-0.5998,-0.3366,-1.1521,-1.878,-0.6564,-0.0653,-0.0672,-0.3924,-1.1348,0.959,-1.3726
-0.1812,-0.2062,-0.3687,-0.7076,-0.7413,-0.6345,-0.3662,-0.1702,0.063,-0.6842,2.2131,-0.3245,-0.3358,1.851,0.0359,1.264,-0.1562,-0.2274,0.0849,-1.4461,-0.4395,0.5102
0.9813,0.0882,1.4667,-0.8491,0.0608,1.0619,-0.4755,5.0571,-0.0865,-0.7585,0.3907,-0.5507,-0.1977,-0.1849,1.1084,3.036,-0.226,-0.1562,-0.5483,-0.1277,0.6875,0.8522
-0.2083,-0.2444,0.4052,1.53,-0.3199,-0.6112,-0.4833,0.3105,0.7066,0.7242,0.6868,-0.2667,-0.0615,1.0188,-0.7535,0.3734,-0.4813,-0.0523,-0.993,-0.1263,-0.1786,0.2236
