Patient_ID,UBQLN2,UBXN10,UBXN2B,UBXN6,UCHL1,UCKL1,UEVLD,UFM1,UHRF1BP1L,ULBP3,UNC119B,UNC13D,UNC45A,UNC93B6,UPK3B,URB1,URB2,URM1,USHBP1,USP13,USP25,USP30,USP32P1,USP33,USP38,USP47,USP54,UTP14C,VASN,VBP1,VDAC1,VDR,VGLL4,VMAC,VMO1,VSIR,VSNL1,WASF3,WASH2P,WDR45B,WDR70,WDR82,WIPI1,WNT2,WNT3,WNT5A,WNT7A,XAB2,XK,XKR9,XPA,XYLT2,ZDHHC9,ZER1,ZFP36L2,ZFP91,ZFPM2-AS1,ZFYVE19,ZFYVE9,ZG16B,ZGPAT,ZKSCAN1,ZMIZ1,ZMYM1,ZMYM2,ZMYND10,ZMYND11,ZMYND12,ZNF114,ZNF124,ZNF134,ZNF140,ZNF148,ZNF155,ZNF185,ZNF189,ZNF239,ZNF252P,ZNF274,ZNF275,ZNF28,ZNF284,ZNF30,ZNF324B,ZNF337-AS1,ZNF354A,ZNF419,ZNF431,ZNF436,ZNF438,ZNF462,ZNF468,ZNF480,ZNF484,ZNF496,ZNF501,ZNF502,ZNF517,ZNF519,ZNF528-AS1
DO34264,13.05,2.54,9.4,40.97,5.5,8.6,10.39,21.76,5.7,1.36,4.41,5.28,34.04,0.0,0.26,6.14,5.23,10.14,0.28,2.48,11.65,1.4,0.75,19.52,9.91,16.57,19.95,9.0,4.57,15.45,72.95,7.5,17.09,1.27,1.51,26.76,6.47,1.29,3.53,25.43,10.79,17.42,12.65,3.27,0.11,5.5,0.02,10.02,1.47,1.74,2.91,3.91,17.25,6.39,68.94,15.37,0.25,8.2,9.87,106.18,8.96,55.89,8.38,3.9,26.06,0.16,12.47,1.34,0.21,23.76,3.93,4.6,21.27,1.11,2.43,9.34,2.52,9.87,2.63,4.02,7.82,0.42,0.78,1.53,0.61,4.85,2.12,2.59,3.77,3.91,5.67,5.39,2.24,2.6,3.1,1.46,1.26,0.85,1.55,0.31
DO34288,24.22,2.43,8.73,32.95,7.89,10.93,15.8,39.45,5.13,1.33,5.87,17.1,27.96,0.12,1.33,6.5,4.84,11.12,0.56,1.06,11.85,2.89,1.41,24.23,6.39,18.48,38.81,13.46,3.92,16.95,146.18,14.17,23.62,4.21,1.52,21.53,1.62,2.01,7.14,22.59,9.89,23.34,14.08,3.81,0.25,7.86,3.44,12.66,4.31,4.15,4.57,8.45,24.24,5.71,40.04,26.19,0.63,7.37,10.15,54.92,16.86,30.44,12.11,5.24,50.32,0.27,16.15,0.26,0.28,7.66,9.81,5.3,13.06,2.92,17.76,6.45,2.26,18.49,8.04,3.27,12.75,0.85,0.55,4.26,1.82,2.74,3.65,9.17,4.7,3.37,4.74,6.72,5.52,4.47,3.66,1.75,1.88,2.72,2.91,0.63
DO34312,11.08,2.25,10.89,15.96,5.51,7.68,14.03,32.56,9.05,1.09,2.7,13.65,12.67,0.0,1.5,2.48,1.79,5.66,0.64,2.36,11.37,4.06,2.18,37.88,7.44,23.98,18.22,7.1,3.71,15.63,108.52,5.47,28.19,1.01,0.9,13.28,2.49,1.16,3.62,28.96,10.4,14.24,9.29,3.45,0.4,13.15,10.38,6.17,2.62,4.34,5.2,7.67,16.61,4.28,60.96,21.23,1.67,9.53,6.07,10.53,6.32,24.46,10.13,5.32,43.81,0.16,16.62,0.71,0.6,9.15,3.9,8.55,16.7,2.02,22.03,8.29,2.16,14.28,6.88,2.41,11.71,0.81,1.1,1.55,1.36,4.3,2.77,14.57,5.26,3.95,7.14,8.3,4.74,4.99,4.74,1.69,1.25,1.73,3.07,0.52
DO34336,0.0,0.45,14.33,4.59,0.0,4.07,23.98,2.03,0.0,0.0,0.15,4.81,105.42,0.0,0.0,1.43,0.0,0.0,4.28,0.37,2.32,0.58,3.39,67.82,0.0,37.01,14.89,0.38,3.03,0.0,8.92,0.27,27.47,1.7,0.0,0.0,14.98,0.57,0.0,0.37,0.0,7.26,59.05,0.29,0.0,0.68,0.0,0.0,0.0,18.47,7.69,9.02,0.0,0.0,0.46,0.0,6.83,2.59,0.26,0.0,6.75,16.96,0.61,0.11,0.45,3.04,0.77,0.94,5.2,31.83,0.0,7.47,0.04,1.64,0.0,0.14,0.0,2067.21,5.07,0.08,46.72,2.05,1.31,0.79,102.79,0.0,2.12,61.19,0.0,0.12,0.05,0.92,1.98,0.0,0.4,0.0,0.0,27.1,2.2,38.22
DO34368,11.26,5.78,7.53,18.98,1.67,11.44,8.45,17.56,4.54,1.53,3.87,9.29,17.35,0.03,2.04,2.41,2.15,18.34,0.34,1.71,8.44,3.08,1.58,16.21,9.33,13.78,33.34,5.78,9.51,11.21,122.13,8.64,24.37,1.99,0.78,24.06,0.65,0.5,2.48,20.08,5.54,24.26,5.44,2.36,0.34,8.82,5.32,13.29,2.77,2.36,3.52,6.27,17.13,11.21,49.38,15.15,3.24,6.59,4.89,25.05,8.86,24.33,13.17,2.67,25.88,0.21,9.06,0.2,0.29,6.12,9.12,5.48,15.22,1.44,17.17,7.62,0.9,6.57,8.71,2.5,10.2,0.44,0.88,1.91,0.8,1.65,3.22,6.17,4.47,3.14,6.17,8.41,3.12,3.69,4.21,1.14,0.86,1.24,0.95,0.35
DO34376,5.21,0.88,11.36,25.24,0.12,12.05,21.67,31.19,5.17,1.41,5.42,22.33,11.95,0.01,79.24,3.67,2.43,7.63,0.04,3.75,20.01,3.06,3.42,36.39,11.29,14.78,12.67,6.47,1.34,53.62,163.79,2.01,17.0,0.91,0.09,11.91,0.6,0.5,3.19,39.64,14.86,12.59,12.98,0.01,0.12,0.02,1.81,9.48,1.43,5.95,5.48,4.83,9.28,4.74,3.01,23.57,5.98,13.63,2.94,17.5,7.4,39.91,1.36,10.06,36.5,0.11,9.64,0.96,0.13,7.4,12.2,8.29,25.46,4.44,33.16,4.87,1.78,15.55,16.55,0.68,29.23,1.38,1.34,1.88,0.98,6.64,7.34,8.38,4.15,1.27,2.95,17.21,10.44,3.6,5.37,2.0,0.05,1.11,2.65,0.4
DO34432,9.81,1.88,10.0,26.43,6.54,10.71,12.46,24.72,6.63,0.93,10.29,7.6,23.23,0.01,3.55,6.21,2.78,12.35,0.46,4.05,14.34,4.63,4.37,17.07,11.43,22.85,15.35,10.13,15.94,12.21,118.0,7.08,28.23,1.26,0.99,18.38,1.46,1.12,3.97,31.59,8.28,21.92,17.17,6.51,0.54,29.33,3.0,9.23,1.21,2.2,3.53,9.58,15.05,9.42,47.36,16.87,9.0,9.76,6.57,23.67,11.73,24.63,15.49,6.0,26.04,0.39,16.82,1.27,0.56,16.25,9.76,9.4,18.01,3.6,19.01,7.57,2.51,11.71,9.54,4.77,15.76,0.5,1.0,2.39,1.39,2.73,4.56,3.16,6.03,4.46,7.42,11.43,2.48,3.36,8.19,1.8,1.51,2.1,1.33,0.84
DO34448,15.61,0.43,12.15,20.22,4.43,6.71,12.06,44.82,9.01,1.56,4.27,13.09,11.91,0.0,0.33,4.92,3.95,15.21,0.58,2.92,16.85,3.26,8.99,20.55,12.34,20.16,30.25,15.55,4.08,14.34,125.31,10.44,29.47,1.31,0.6,10.99,2.37,0.98,3.73,24.13,7.6,19.45,12.57,9.76,0.27,9.38,0.4,8.57,0.46,6.55,8.76,4.39,13.21,5.7,43.02,21.63,0.35,4.24,5.29,11.9,6.55,23.23,17.03,5.52,40.88,0.1,21.46,0.3,0.42,10.66,7.75,7.81,16.29,2.93,12.53,14.13,1.61,11.83,7.98,3.6,10.95,1.28,1.15,2.12,0.34,2.69,2.94,6.67,5.95,5.83,10.03,7.12,3.34,6.33,5.12,1.99,0.96,0.87,1.63,0.15
DO34504,8.55,1.4,14.6,26.84,3.93,11.66,14.3,33.67,8.76,1.25,4.55,19.48,13.49,0.0,1.47,4.51,4.49,7.97,0.39,3.18,13.87,2.29,5.37,43.33,9.0,25.12,8.85,8.72,2.92,9.7,149.38,6.41,23.72,3.08,4.88,18.53,0.68,1.35,3.87,48.15,12.22,27.08,19.75,2.38,0.82,22.46,0.82,10.62,0.82,6.3,5.29,7.07,10.3,6.86,99.3,19.64,1.69,6.74,6.68,11.54,8.79,29.32,13.44,10.15,36.6,0.6,19.65,0.96,0.36,11.82,10.21,5.78,21.3,4.42,6.84,11.0,2.84,17.18,9.64,2.53,8.95,1.71,1.82,2.5,1.78,5.15,6.89,11.93,4.37,3.64,5.52,9.59,6.16,6.26,6.64,3.73,2.41,1.85,3.92,0.31
DO34600,12.54,1.6,7.21,21.92,8.88,9.7,11.32,23.25,6.42,1.83,2.75,18.72,14.33,0.0,8.59,3.55,1.94,14.15,0.7,2.74,8.8,2.15,1.37,17.34,6.2,18.95,13.12,6.29,8.86,17.14,86.21,7.02,29.06,1.0,0.89,13.38,3.84,1.15,3.31,37.42,8.3,18.88,17.04,1.78,0.26,20.13,1.89,5.82,1.64,2.89,3.34,7.83,12.11,7.58,38.13,18.98,7.88,5.89,4.37,13.45,8.82,17.42,9.84,3.07,26.7,0.31,9.6,0.24,0.25,4.97,7.72,5.68,11.74,2.17,18.09,4.67,0.68,7.09,7.2,3.3,10.58,0.81,0.7,1.09,0.99,2.35,2.79,7.78,7.6,2.12,4.77,9.06,2.22,3.76,5.37,1.41,1.53,0.71,1.12,0.74
DO34608,9.63,4.09,14.8,20.21,14.6,10.35,14.55,23.97,5.06,1.5,6.11,11.43,13.48,0.02,2.48,3.65,6.02,21.84,0.24,1.69,12.91,3.16,1.86,22.14,8.01,20.23,29.25,6.8,10.38,20.96,88.47,16.86,27.09,1.76,0.81,10.72,1.64,1.2,4.61,45.76,6.95,33.94,14.64,5.82,0.71,9.78,0.74,13.65,1.6,4.25,8.55,6.72,13.8,12.0,43.77,20.23,0.31,11.05,4.12,41.49,7.6,28.3,8.39,4.67,39.73,1.25,21.23,0.72,0.38,42.13,7.4,11.68,17.7,3.59,10.2,18.21,2.3,12.81,8.14,3.51,13.62,1.24,1.22,3.32,1.82,2.39,3.47,4.46,6.82,3.04,8.45,13.6,6.09,6.99,10.47,2.23,2.71,2.36,2.35,0.35
DO34616,15.05,5.67,14.05,26.32,0.04,8.12,15.21,57.7,14.01,1.63,6.8,4.79,17.87,0.21,2.83,6.25,6.24,16.49,0.22,5.95,12.59,2.58,1.79,32.18,14.77,22.42,31.02,22.15,0.86,13.9,185.4,17.32,20.29,2.19,11.71,21.46,0.69,0.25,5.12,48.22,5.97,24.68,20.19,0.18,0.02,4.4,0.48,8.32,1.06,2.6,8.19,7.56,32.2,8.63,159.88,25.15,0.29,9.11,9.11,56.45,7.16,25.0,15.31,5.88,36.39,0.29,23.18,0.63,0.17,12.57,8.3,9.28,14.7,2.68,6.81,9.83,3.03,16.42,12.2,2.88,19.72,0.9,1.06,2.53,1.49,2.39,2.08,7.56,5.28,5.1,5.98,15.06,7.32,8.21,6.29,1.28,1.49,0.38,4.21,0.53
DO34640,13.66,2.64,11.4,24.97,3.03,7.34,20.69,30.41,10.84,1.34,4.27,26.34,11.53,0.02,33.96,2.86,1.93,13.42,0.31,2.13,24.51,4.1,2.71,22.13,8.73,25.58,34.97,4.39,13.12,21.79,151.7,13.35,23.53,1.61,1.42,12.38,0.95,0.79,3.72,41.11,7.15,20.83,17.38,2.46,0.3,11.49,2.51,9.89,4.42,5.11,10.39,7.13,22.02,8.43,70.06,27.76,5.17,17.66,4.36,6.45,9.57,28.59,12.36,5.25,29.98,0.51,20.91,0.38,7.04,8.0,4.5,10.3,16.57,1.36,23.36,8.34,1.82,15.6,6.44,2.03,9.07,0.7,1.29,1.33,2.32,5.19,3.09,11.06,6.69,5.4,11.06,10.3,2.69,5.72,3.32,2.07,1.77,2.11,2.64,0.54
DO34656,10.37,9.16,10.29,30.01,8.2,9.49,14.31,36.45,6.77,1.45,5.32,7.29,21.03,0.09,2.08,5.53,3.73,31.52,0.59,4.28,16.38,2.29,3.38,29.58,12.27,25.95,37.91,9.98,3.48,17.71,127.08,5.21,28.49,3.05,0.76,22.02,0.86,1.32,5.23,50.89,10.73,35.75,13.76,1.44,0.21,25.89,0.89,10.21,9.75,6.2,10.25,9.11,16.74,15.64,43.91,21.1,2.87,9.95,6.97,58.72,7.43,34.09,10.99,7.24,34.04,1.41,24.74,0.78,0.15,13.61,11.79,6.27,21.28,3.9,9.34,34.56,2.55,17.02,11.04,3.96,14.54,1.19,1.28,2.71,1.65,3.39,3.8,5.9,11.0,4.55,8.17,9.94,6.43,9.65,5.24,3.42,3.22,2.0,1.71,0.33
DO34680,12.3,1.58,7.7,28.26,5.45,14.18,11.24,65.07,10.57,1.94,4.44,16.26,13.8,0.04,0.66,4.38,4.08,17.71,0.53,4.36,16.49,4.08,15.38,30.4,10.91,21.98,10.15,10.18,3.99,23.08,168.57,7.8,25.45,1.91,1.03,10.58,1.03,0.95,5.37,78.86,7.92,25.02,19.75,1.08,0.37,9.33,2.8,8.79,0.63,5.69,6.14,10.81,19.36,7.98,63.65,21.98,3.1,6.53,6.69,34.6,11.97,33.76,14.31,5.33,33.3,0.1,16.87,0.23,0.26,16.6,6.02,7.25,23.87,2.88,16.94,13.32,2.09,10.49,7.74,3.74,14.52,1.25,0.82,2.47,0.93,3.93,3.33,8.95,4.5,2.45,7.77,8.11,4.77,5.37,4.92,2.27,2.12,1.18,3.02,0.99
DO34696,9.42,2.82,12.26,22.23,13.24,13.42,18.55,35.1,7.06,2.73,5.83,25.87,14.3,0.03,4.6,3.43,4.29,17.77,0.28,2.13,12.09,4.13,1.8,27.38,9.76,25.29,16.07,7.86,7.85,28.04,131.01,7.58,26.4,1.81,3.9,16.26,8.69,0.98,4.38,55.26,8.85,32.31,15.62,4.4,0.29,16.81,1.17,7.8,5.56,4.46,8.37,9.1,12.52,9.07,36.82,24.08,6.24,6.44,7.21,29.56,9.9,20.52,7.21,5.43,29.88,0.52,17.43,1.12,0.53,22.71,13.99,10.73,19.85,4.9,11.51,12.71,2.66,15.65,14.85,2.92,20.23,1.7,1.94,2.98,1.08,3.06,6.78,5.31,6.95,3.4,4.75,12.87,9.1,6.56,4.21,2.63,2.45,1.34,1.54,1.25
DO34720,11.57,2.45,13.56,16.37,7.2,8.7,14.5,36.7,7.94,2.14,8.82,8.66,13.21,0.0,1.12,7.52,4.92,17.0,0.43,3.1,19.84,3.99,2.16,40.78,7.15,26.02,13.82,9.23,5.42,14.9,147.95,7.53,35.52,1.71,5.21,7.59,6.53,2.29,5.86,45.04,10.76,31.3,13.98,8.44,0.34,11.87,0.36,7.6,5.92,8.31,6.96,7.62,19.96,9.47,68.87,21.18,0.66,6.05,7.46,23.4,8.18,27.47,13.87,8.02,42.43,0.51,13.39,0.66,0.35,17.29,13.3,10.39,18.81,7.13,6.56,22.37,3.21,15.28,12.37,4.3,32.38,2.08,4.11,3.38,1.77,4.58,5.82,5.82,7.3,3.56,6.3,20.47,9.44,7.18,8.57,2.12,2.53,1.62,2.44,0.71
DO34728,10.13,0.38,8.99,30.55,11.49,7.65,19.48,36.78,10.94,2.47,5.01,6.4,20.97,0.05,1.81,4.37,2.94,17.08,0.28,2.22,8.55,2.14,5.6,22.42,9.89,32.39,9.01,6.5,8.27,33.51,166.79,12.05,25.46,1.62,1.87,18.42,18.95,1.49,3.64,40.55,8.22,17.26,28.3,10.7,0.59,23.34,0.54,6.89,0.59,2.52,8.63,9.49,15.97,9.28,41.08,20.54,8.8,5.29,10.86,0.5,5.94,15.37,11.31,6.63,29.05,0.1,14.79,0.32,0.43,8.46,4.16,4.53,19.63,1.84,21.16,9.32,0.62,10.18,4.62,5.02,3.09,0.85,0.77,1.96,0.39,3.21,2.38,3.07,9.82,3.11,4.26,2.33,1.94,6.98,4.77,0.91,1.36,0.96,1.76,0.21
DO34736,10.17,1.83,13.5,22.82,3.99,9.76,16.86,38.96,7.23,1.68,3.53,4.34,20.35,0.0,0.25,2.38,2.79,12.79,0.3,1.66,11.18,1.27,2.46,20.41,8.77,19.04,16.63,8.15,4.14,25.27,173.1,9.05,21.92,1.72,4.04,11.56,2.54,0.46,2.16,37.98,10.0,15.3,13.99,3.68,0.44,13.68,0.38,8.11,1.54,16.79,8.27,6.03,13.3,8.18,40.3,20.48,3.21,4.74,4.04,37.84,5.95,55.75,8.73,4.29,28.58,0.59,14.55,0.82,0.24,28.62,6.71,5.92,16.88,2.19,9.29,20.58,1.52,16.05,5.11,3.44,12.34,0.82,0.71,1.39,0.86,4.0,3.52,8.57,3.59,3.37,4.18,10.07,4.2,5.88,4.2,1.44,1.48,1.3,1.61,0.97
DO34785,12.65,1.99,12.97,30.1,4.97,10.95,15.75,38.84,8.21,1.27,4.95,10.63,17.02,0.0,0.47,5.04,6.54,21.43,0.44,2.68,12.95,2.98,2.67,30.97,12.2,24.58,31.31,10.99,3.6,20.77,220.85,9.17,30.3,3.53,1.22,12.82,1.34,1.33,4.2,51.48,9.48,30.45,11.86,5.53,0.25,13.74,1.01,9.34,3.86,3.69,10.79,7.66,19.77,10.72,94.19,20.13,6.06,10.0,10.43,20.62,8.24,30.61,8.76,6.61,39.13,0.2,23.08,0.65,0.12,32.93,9.52,9.9,20.99,3.14,3.6,17.84,4.08,12.48,8.19,4.01,14.58,0.82,1.63,3.04,1.69,3.41,3.83,7.53,6.57,4.4,8.15,10.56,5.56,7.76,5.09,1.6,2.62,1.47,1.47,0.26
DO34793,13.76,1.75,12.96,22.16,5.94,8.31,16.61,69.78,4.45,0.96,4.69,7.41,17.03,0.0,0.58,2.75,2.35,14.09,0.44,1.99,8.33,1.93,4.02,25.55,12.73,17.08,18.38,4.94,8.37,13.29,129.46,8.26,36.43,1.97,5.9,9.83,0.87,0.62,3.99,56.16,9.27,23.13,16.38,4.63,0.23,8.89,0.0,8.36,3.71,8.29,5.15,8.23,17.45,11.14,67.74,18.34,4.45,6.1,5.84,23.29,8.13,22.62,12.79,4.26,23.55,0.29,13.1,0.77,0.37,18.94,5.43,6.46,17.02,2.07,9.4,10.88,1.96,13.3,5.82,3.78,11.19,1.06,1.09,1.87,0.73,5.18,2.65,7.14,5.45,3.61,4.36,7.44,5.24,4.89,6.32,2.71,2.48,1.17,1.43,0.14
DO34801,11.91,6.53,7.34,31.87,2.41,12.04,10.53,23.64,6.67,2.42,3.28,6.5,18.27,0.0,0.23,4.42,2.5,19.66,0.61,2.18,11.82,3.78,1.76,25.16,9.26,20.77,38.59,8.08,5.49,11.15,157.21,11.46,31.17,1.98,0.7,13.34,2.46,1.36,4.34,51.36,10.59,26.19,9.47,5.25,0.34,12.93,0.53,11.84,5.34,4.26,5.49,7.2,18.39,10.4,68.41,16.4,3.05,9.41,8.98,25.75,7.78,40.96,12.55,3.87,26.7,0.15,15.98,0.99,0.12,17.6,6.75,8.2,12.41,2.61,4.76,11.22,1.4,10.58,9.48,2.94,11.63,0.69,0.92,2.48,0.78,2.1,2.37,5.75,6.0,4.01,9.17,6.44,3.84,4.91,5.18,0.55,1.77,1.17,1.17,0.39
DO34809,7.19,2.13,8.89,16.8,2.44,7.22,16.77,29.61,6.1,0.83,3.49,2.9,11.95,0.0,0.48,2.63,2.4,9.37,0.28,0.78,11.2,1.16,2.53,18.33,6.2,12.16,17.99,4.69,3.63,26.51,114.18,5.85,13.46,1.42,2.34,10.43,1.48,0.17,1.83,26.36,6.55,11.79,10.3,1.49,0.2,6.29,0.12,5.51,1.83,16.39,5.52,3.99,10.54,6.34,36.0,13.7,4.24,4.19,3.09,28.17,4.06,75.24,6.81,5.22,21.51,0.27,13.67,1.16,0.13,43.79,5.5,5.7,14.26,1.75,6.03,18.63,1.32,16.52,5.82,2.51,11.66,0.54,0.42,0.96,1.41,3.71,3.64,8.12,3.18,2.6,2.38,10.05,4.03,4.98,2.51,1.13,1.34,0.98,2.5,1.36
DO34817,12.51,0.77,10.2,26.09,1.86,8.66,16.86,36.7,6.06,1.56,4.23,6.12,7.04,0.06,0.31,6.38,4.57,30.74,0.39,4.14,12.7,2.94,0.9,18.66,13.2,26.41,53.67,23.36,2.14,16.35,169.4,5.96,20.41,2.53,8.29,14.16,0.27,1.71,4.07,59.5,9.92,30.34,22.4,5.89,0.35,7.74,0.03,8.85,1.54,7.42,8.51,5.84,14.94,13.65,46.48,24.5,0.57,3.71,10.28,62.76,6.21,27.48,9.83,6.02,40.13,0.06,13.05,1.0,0.17,13.02,9.94,11.95,18.93,2.32,1.41,17.35,2.68,14.96,11.89,5.32,10.89,1.05,1.26,3.58,0.27,3.15,5.17,6.45,3.78,2.38,9.76,11.85,6.97,7.62,3.96,2.58,3.17,2.33,2.77,0.11
DO34849,11.13,1.22,10.84,15.24,4.53,10.45,12.39,36.63,6.37,1.48,3.37,23.84,11.91,0.05,4.25,4.11,2.14,9.28,0.47,2.71,11.09,2.73,21.07,34.7,9.41,22.95,18.96,8.74,12.33,11.71,107.98,6.52,26.66,1.13,0.69,11.09,2.68,1.46,3.16,22.13,10.17,20.41,15.34,0.84,0.18,11.75,2.76,8.78,1.25,6.55,5.36,5.18,7.69,5.46,56.52,15.32,5.25,8.21,4.91,31.82,8.97,22.27,12.25,5.13,39.36,0.54,17.39,0.37,1.29,11.71,7.2,5.83,16.47,2.57,10.2,7.6,2.56,13.8,6.81,2.41,13.01,0.85,1.08,0.85,1.43,4.28,3.74,15.3,5.04,3.05,4.78,9.16,5.44,7.19,5.15,2.26,2.81,1.29,4.53,1.86
DO34905,14.54,3.44,9.88,26.71,5.29,13.74,13.16,30.11,8.88,3.75,1.67,2.76,25.14,0.0,1.51,2.66,3.67,18.28,0.31,4.48,11.93,3.03,8.15,22.39,6.19,19.75,47.51,5.63,7.48,24.48,253.69,17.14,37.65,2.17,0.86,21.18,3.77,1.41,4.72,51.17,9.27,17.09,19.4,5.93,1.0,10.61,5.84,10.27,4.46,3.59,8.31,9.48,22.89,9.7,39.87,26.47,0.74,10.11,7.87,1.54,7.2,18.47,9.93,9.11,21.67,0.11,16.35,0.74,0.25,11.98,6.14,11.24,17.12,3.4,5.78,9.79,1.59,18.19,6.92,4.41,12.24,0.75,0.99,1.53,1.14,5.64,3.29,4.85,6.99,3.12,5.26,7.24,6.96,6.7,6.56,1.35,1.72,1.16,1.5,0.18
DO34945,7.51,2.7,8.85,20.05,11.75,7.92,14.51,31.22,7.72,1.21,6.29,22.62,11.92,0.0,0.28,5.47,2.72,21.36,0.59,2.79,16.27,2.05,2.63,25.62,8.97,18.49,7.18,6.16,11.12,25.58,78.44,7.76,30.77,1.3,1.25,14.05,1.66,1.39,4.07,29.05,8.44,21.76,19.13,1.14,0.81,4.97,6.44,6.44,0.76,3.74,5.46,6.56,12.81,8.36,35.95,18.7,8.36,8.71,4.12,19.26,6.95,32.33,9.49,5.72,30.03,0.24,15.88,0.4,1.6,11.57,7.29,7.04,13.74,3.26,12.88,8.8,1.98,13.76,10.54,4.73,11.56,1.42,0.95,2.38,1.38,5.18,5.96,6.49,9.15,3.15,5.18,8.02,5.67,6.72,7.17,2.88,2.21,1.62,1.95,0.31
DO34961,10.06,0.03,9.48,39.64,0.09,20.91,8.2,24.31,11.16,0.95,5.06,10.23,17.91,0.0,0.05,3.17,3.45,7.42,0.2,1.71,14.06,4.91,1.44,19.84,9.97,26.31,5.71,5.82,0.28,32.74,207.02,1.71,20.76,1.97,0.41,2.18,0.0,4.64,6.87,78.99,14.29,14.71,16.57,0.05,0.92,0.99,0.02,6.81,8.13,3.06,7.03,11.75,18.88,4.53,49.52,36.67,4.28,12.63,5.66,55.55,8.56,40.63,6.79,2.92,22.6,0.04,27.95,0.62,0.22,43.08,5.42,8.86,11.06,2.19,2.3,8.76,0.2,7.33,5.24,4.39,0.62,0.67,0.93,1.32,2.09,9.54,2.64,6.29,4.25,3.05,5.9,4.99,5.33,5.54,7.45,0.36,0.52,0.99,1.19,0.02
DO49074,4.81,0.47,3.85,18.4,1.17,29.27,7.92,22.45,3.9,0.59,2.24,60.32,22.2,0.1,2.91,3.85,3.33,4.26,1.85,4.34,6.33,1.85,17.31,39.18,7.37,17.54,34.03,8.16,1.19,9.21,86.98,4.37,19.46,1.94,0.42,4.41,2.56,1.43,3.95,29.14,11.34,9.25,9.99,0.0,0.55,1.1,0.62,9.38,0.16,7.26,2.21,5.27,8.1,2.65,34.01,8.15,4.23,8.81,2.79,11.06,16.32,24.91,8.25,5.49,79.71,0.35,10.79,0.31,1.48,10.82,4.71,4.32,20.08,1.79,6.77,2.99,4.97,9.58,7.54,1.57,8.69,1.37,0.75,2.08,0.82,4.17,3.74,32.3,1.53,2.08,5.01,7.68,2.91,2.12,7.55,0.55,1.27,2.01,5.57,1.98
DO49076,10.23,0.18,12.48,36.15,3.04,5.76,16.01,37.75,8.19,2.72,5.02,24.56,7.41,0.0,0.41,2.73,2.14,10.31,0.67,4.19,14.92,7.19,9.5,20.89,8.66,39.16,3.58,9.98,1.25,20.03,72.81,1.13,10.43,2.78,0.59,10.28,0.0,4.79,3.81,30.8,6.89,15.91,6.7,0.41,0.23,0.48,0.01,8.81,0.45,8.36,9.35,5.87,13.11,7.4,71.06,32.28,0.95,4.55,9.21,17.99,5.87,50.71,6.5,2.99,43.35,0.52,31.57,1.2,0.12,30.08,11.86,14.09,23.31,5.25,1.56,10.35,1.74,17.24,9.65,3.79,14.79,1.21,2.61,2.38,1.76,3.0,5.71,8.33,4.31,1.84,5.04,12.73,8.49,5.28,7.45,1.06,1.96,1.66,1.71,0.5
DO49078,11.64,1.58,11.15,18.52,5.13,11.27,9.39,32.72,6.31,0.71,3.64,10.19,10.99,0.0,1.05,3.17,2.4,7.65,0.46,2.29,12.52,2.16,6.79,27.0,7.92,16.43,9.68,9.47,10.55,15.85,103.17,4.83,25.32,1.96,1.25,9.82,1.13,1.67,2.95,38.63,6.91,22.2,21.37,3.31,0.23,6.93,0.05,7.03,3.82,8.86,5.67,7.52,13.85,6.3,69.89,22.48,5.63,4.24,9.51,13.15,7.56,21.4,14.0,3.99,58.18,0.21,15.55,0.42,0.45,18.4,7.16,5.88,12.9,2.14,7.28,7.71,2.08,12.52,7.59,4.6,10.33,1.48,1.42,1.71,0.66,3.42,3.75,10.84,5.27,3.18,5.41,10.18,4.38,4.14,7.61,1.97,1.39,1.89,2.34,0.74
DO49079,10.67,1.07,5.08,21.23,2.69,11.23,9.08,20.19,9.3,2.49,3.67,37.74,20.28,0.03,0.45,2.61,2.19,6.83,0.37,4.33,10.46,2.11,2.55,24.79,6.54,18.24,7.97,3.53,12.16,16.62,99.69,4.14,18.65,0.59,0.95,5.76,0.75,0.85,2.39,23.12,8.7,10.88,9.68,1.5,1.19,3.97,1.87,7.13,0.55,2.83,4.12,17.08,9.88,5.13,35.95,18.97,4.63,8.47,7.66,14.68,6.53,18.41,8.16,6.27,17.81,0.26,6.54,0.22,0.44,10.53,5.44,8.27,13.84,2.14,8.61,6.83,2.41,3.57,4.72,2.27,9.86,0.6,0.19,1.12,1.11,8.38,2.29,6.02,5.1,2.59,4.78,9.0,3.32,4.89,4.51,0.97,0.3,1.04,0.85,1.85
DO49080,11.5,0.87,9.58,25.56,10.89,12.86,12.45,37.85,9.53,1.23,5.41,7.54,21.93,0.0,4.26,10.28,4.54,14.61,0.34,3.34,20.42,2.87,7.48,32.42,9.49,22.54,15.16,7.93,5.09,16.93,124.95,14.39,31.24,2.44,1.54,12.92,32.01,1.44,4.69,39.73,9.21,17.63,20.28,1.14,0.35,22.8,1.1,9.65,0.9,5.89,8.35,10.7,14.28,8.82,38.73,29.56,11.47,12.32,14.94,10.59,7.67,33.83,16.45,9.22,42.03,0.17,21.37,0.34,0.63,13.35,4.5,9.13,21.31,3.02,10.14,13.34,1.12,15.37,9.56,4.14,7.35,1.31,1.42,2.7,1.69,7.28,4.0,12.08,12.61,4.03,12.9,5.49,6.05,10.43,7.42,2.19,2.55,1.94,4.01,0.42
