PatientID,SHROOM3,TMEM187,TRIM29
TCGA-HZ-A77P,-0.2161,-0.18100000000000002,-0.7394
TCGA-HZ-A77Q,-1.1302,-0.4733,0.1428
TCGA-HZ-A8P0,-1.2058,0.2782,-0.2573
TCGA-HZ-A8P1,0.1476,-0.3364,-0.9606
TCGA-HZ-A9TJ,0.8695,-0.5118,-0.8075
TCGA-IB-7644,2.8676,-0.2638,-0.1021
TCGA-IB-7645,0.1097,-1.7943,-0.8741
TCGA-IB-7646,-0.6069,-1.4282,1.0798
TCGA-IB-7647,2.3439,-1.1359,-0.3137
TCGA-IB-7649,0.5028,-0.8029999999999999,-0.7096
TCGA-IB-7651,0.7583,-0.5461,-0.6598
TCGA-IB-7652,0.0243,0.9767,0.9049
TCGA-IB-7885,0.3349,0.8727,0.5356
TCGA-IB-7886,0.3076,-0.9941,-0.1079
TCGA-IB-7887,1.0123,0.7317,0.6345
TCGA-IB-7888,0.0528,-1.6692,-0.4172
TCGA-IB-7889,-0.4474,0.7056,0.6529
TCGA-IB-7890,-0.3397,-1.1642,0.9948
TCGA-IB-7891,-0.1221,-0.8224,-0.7593
TCGA-IB-7893,-0.5702,-1.4865,-0.8278
TCGA-IB-7897,-0.664,-1.2008,-0.8898
TCGA-IB-8126,-0.7519,0.0447,-1.0002
TCGA-IB-8127,0.2705,-1.115,0.0494
TCGA-IB-A5SO,-0.44799999999999995,0.1293,0.8372
TCGA-IB-A5SP,0.2407,0.8788,2.5612
TCGA-IB-A5SQ,-0.1241,-0.2327,-0.6970000000000001
TCGA-IB-A5SS,-0.2323,0.7563,-0.2016
TCGA-IB-A5ST,-0.627,-0.1544,-0.1175
TCGA-IB-A6UF,-0.484,-0.1389,0.2037
TCGA-IB-A6UG,-0.5565,2.5061,-0.6017
TCGA-IB-A7LX,-0.4477,0.7045,0.6913
TCGA-IB-A7M4,-0.6672,-0.3678,3.4402
TCGA-IB-AAUM,-0.4901,1.3071,-0.8453
TCGA-IB-AAUN,0.6819,-0.225,1.3962
TCGA-IB-AAUO,-0.0004,-0.0095,0.9846
TCGA-IB-AAUP,-1.2323,0.1488,-0.4828
TCGA-IB-AAUQ,-0.5037,0.6882,1.7303
TCGA-IB-AAUR,-1.4515,-0.29600000000000004,-0.5997
TCGA-IB-AAUS,-0.9925,-0.3861,-0.5481
TCGA-IB-AAUT,0.0714,0.1499,-0.9798
TCGA-IB-AAUU,0.1269,0.2119,-0.4684
TCGA-IB-AAUV,-1.3601,-0.278,-1.0070000000000001
TCGA-IB-AAUW,1.6187,-0.1805,-0.9840000000000001
TCGA-L1-A7W4,-0.1052,0.8134,-0.6498
TCGA-LB-A7SX,0.6829,-0.3378,1.6327
TCGA-LB-A8F3,-1.2314,-0.2576,-1.0088
TCGA-LB-A9Q5,-0.7203,0.6831,-0.2382
TCGA-M8-A5N4,0.0097,0.1532,0.6955
TCGA-OE-A75W,-0.4043,0.6416,0.8917
TCGA-PZ-A5RE,0.3886,-0.4398,1.435
TCGA-Q3-A5QY,-1.4366,0.1988,-0.3417
TCGA-Q3-AA2A,-0.3248,-0.8111,-0.7255
TCGA-RB-A7B8,-0.3196,-1.2192,-0.1924
TCGA-RB-AA9M,0.5237,0.1979,-0.6729
TCGA-RL-AAAS,0.1226,0.9439,-0.8634
TCGA-S4-A8RM,2.133,-0.5724,-0.9605
TCGA-S4-A8RO,-0.9229,-0.2032,-0.3102
TCGA-S4-A8RP,1.0615,-0.071,-0.7717
TCGA-US-A774,0.4103,-0.2947,-0.0559
TCGA-US-A776,0.6135,1.9596,-1.031
TCGA-US-A779,1.2209,2.2409,2.0621
TCGA-US-A77E,0.6472,-0.6313,0.4064
TCGA-US-A77G,3.5605,-0.1363,0.8684
TCGA-US-A77J,0.1111,0.6833,-0.9724
TCGA-XD-AAUG,-1.1308,-0.6508,-0.8996
TCGA-XD-AAUH,-1.2408,-0.3942,-0.7085
TCGA-XD-AAUI,-0.9526,0.1954,-0.6558
TCGA-XD-AAUL,0.4567,0.6131,1.6963
TCGA-XN-A8T3,-0.6445,-0.1054,-0.9531
TCGA-XN-A8T5,-1.1185,0.2566,-0.4477
TCGA-YB-A89D,-0.4086,-0.9106,0.4496
TCGA-YH-A8SY,-0.528,-0.1551,0.4698
TCGA-YY-A8LH,0.2977,1.3603,-0.3586
TCGA-Z5-AAPL,-1.5322,-1.3257,-0.4296
