"EDC4","EIF2A","GUCY2C","ITGA2","LOC100129066","LOC728743","MED26","PCDHGB5","POT1","SAV1","SFRS17A","SH2B1","SLMAP","SNAI3","TCTE3","TIMM17A","TRIM67"
-0.3197,-0.4431,-0.1989,1.1001,-0.1196,-0.5357,-1.6497,2.1505,-0.3565,1.639,-1.3046,-0.4746,-0.3509,-0.3477,-0.9773,0.4787,-0.0928
-1.1254,2.0673,-0.0488,1.0531,-0.3506,-0.1606,-1.2857,-0.4282,1.833,2.4615,-1.4092,-0.8638,0.4852,-0.8146,-0.5556,-0.1531,-0.0666
-0.7485,3.1382,-0.2025,0.9828,-0.4486,-0.0143,0.0681,2.7993,2.2149,0.6916,-0.2581,-0.6986,-0.7545,-0.4927,-0.7383,0.6469,-0.3048
-1.8266,0.48,-0.1994,-0.1332,0.0494,-0.9166,-0.4988,-0.2811,0.1973,1.3289,-1.5069,-1.9828,-0.1208,-0.0166,-1.257,0.3578,-0.2468
-1.593,1.1611,-0.1981,-0.0993,-0.0636,0.174,-0.4933,-0.2259,0.3856,0.6031,-1.3858,-1.3243,-0.1662,-0.3185,-0.8742,0.9397,-0.2471
-1.2678,1.5693,-0.2002,1.4169,-0.1086,-1.0921,-1.5139,-0.2031,0.7269,0.2793,-1.6742,-1.2838,0.3671,-1.0116,-0.9452,0.0724,-0.2083
-1.6623,-0.1072,-0.2009,0.5756,-0.2977,-0.6057,-1.2517,-0.1641,0.0626,0.875,-1.3707,-1.6859,0.0548,-0.3728,-0.8509,0.0407,-0.0748
-1.8231,1.6384,-0.2013,-0.2564,-0.6572,-0.9658,-1.8211,-0.1807,1.1106,0.5413,-1.858,-1.9186,0.8094,-1.0506,-1.4177,1.3522,-0.346
-1.3847,0.3482,-0.1972,-0.1723,0.6618,-0.7111,-1.0612,0.2686,1.0868,0.4727,-0.8988,-0.9774,-0.0517,-0.6159,-0.2614,-0.7478,0.0709
-1.235,1.237,-0.1921,-0.7542,-0.3151,0.4499,-0.4466,-0.4128,0.6839,1.9188,-0.4639,-0.8056,-0.3739,0.2567,-0.4447,-0.928,-0.119
-0.4726,-0.7269,0.3057,0.5847,-0.4702,0.0999,0.0119,-0.5074,0.9863,-0.6688,-0.7177,-0.8222,0.1978,-0.0584,-0.0884,0.0502,-0.2145
0.1408,0.1747,-0.2012,1e-04,-0.261,-0.3452,0.485,-0.2104,-0.7226,-0.1545,0.6251,0.773,-0.3604,0.0436,-0.2825,-0.7038,-0.1068
0.1189,-0.6572,-0.1984,-0.449,-0.4239,-0.1465,-0.472,1.1911,0.0756,-1.4038,-0.7075,-0.202,-0.267,-0.7216,-0.7629,0.0455,-0.3082
-0.3031,-0.1493,-0.2017,-0.0929,0.1629,-0.1947,0.4242,0.5195,-0.24,0.8156,-1.0189,-0.9685,-0.4688,0.0123,-0.5982,-0.6201,-0.1064
-0.5514,-0.2834,-0.2016,0.6609,-0.5791,-0.8734,-0.9124,1.7323,-0.6637,0.3776,-1.615,-1.8757,0.1457,-0.256,-1.4646,0.2653,-0.2474
